"labels","Time","Line","tsNs","labelTypes","id"
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.964,"{""timestamp"": ""2026-09-23T15:16:49.865712Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.157"", ""open_services_count"": 2, ""services"": [{""port"": ""443"", ""protocol"": ""tcp"", ""service"": ""ssl|https?""}, {""port"": ""3000"", ""protocol"": ""tcp"", ""service"": ""http""}], ""auditor_host"": ""kali""}",1790176610964113348,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610964113348_9eb3dca4
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.964,"{""timestamp"": ""2026-09-23T15:16:49.864914Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.250"", ""open_services_count"": 0, ""services"": [], ""auditor_host"": ""kali""}",1790176610964093524,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610964093524_e1b6020d
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.964,"{""timestamp"": ""2026-09-23T15:16:49.863532Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.103"", ""open_services_count"": 0, ""services"": [], ""auditor_host"": ""kali""}",1790176610964077453,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610964077453_f1b9eb9
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.477,"{""timestamp"": ""2026-09-23T15:16:49.861406Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.21"", ""open_services_count"": 0, ""services"": [], ""auditor_host"": ""kali""}",1790176610477081043,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610477081043_acd1c444
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.477,"{""timestamp"": ""2026-09-23T15:16:49.860410Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.16"", ""open_services_count"": 0, ""services"": [], ""auditor_host"": ""kali""}",1790176610477011165,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610477011165_a81c6094
"{""ability"":""Panel Search"",""detected_level"":""unknown"",""event_type"":""vulnerability_audit_complete"",""filename"":""/var/log/panel_search_vuln.log"",""job"":""search_man"",""module"":""SearchMan"",""nist_control"":""identify_risk"",""service_name"":""search_man""}",2026-09-23 11:16:50.212,"{""timestamp"": ""2026-09-23T15:16:49.859001Z"", ""module"": ""SearchMan"", ""ability"": ""Panel Search"", ""nist_function"": ""IDENTIFY_RISK"", ""event_type"": ""vulnerability_audit_complete"", ""target_ip"": ""192.168.1.1"", ""open_services_count"": 7, ""services"": [{""port"": ""53"", ""protocol"": ""tcp"", ""service"": ""tcpwrapped""}, {""port"": ""80"", ""protocol"": ""tcp"", ""service"": ""http?""}, {""port"": ""443"", ""protocol"": ""tcp"", ""service"": ""ssl|http""}, {""port"": ""8000"", ""protocol"": ""tcp"", ""service"": ""http-alt?""}, {""port"": ""49152"", ""protocol"": ""tcp"", ""service"": ""unknown""}, {""port"": ""49153"", ""protocol"": ""tcp"", ""service"": ""upnp""}, {""port"": ""49154"", ""protocol"": ""tcp"", ""service"": ""unknown""}], ""auditor_host"": ""kali""}",1790176610212072332,"{""ability"":""I"",""detected_level"":""S"",""event_type"":""I"",""filename"":""I"",""job"":""I"",""module"":""I"",""nist_control"":""I"",""service_name"":""I""}",1790176610212072332_21ce28d8
